StateAbbr,StateName,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
NV,Nevada,0,0,0,0,0,0,0,0,0,0,0,331,1160,525,428,104,201,27,60,95,110,295,412,201,388,392,138,1540,198,614,765,623,674,269,996,223,68,269,8,1,21,5,1,1,166,27,35,78,20,21,14,14,0,0,0,0,0,0,0,1,32,7,0,1,0,1,2,1,0,0,4,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
NH,New Hampshire,665,1406,717,1042,4064,265,895,1891,1183,226,980,961,839,1008,547,154,1192,257,385,1229,159,1039,2394,133,932,4609,200,394,2138,456,1135,1450,1034,42,1001,358,80,24,88,197,64,201,762,743,157,18,8,265,54,19,242,5,5,0,2,0,1,55,100,5,0,0,8,1,0,0,0,23,0,0,3,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
NJ,New Jersey,24703,20361,15407,29855,14718,32392,9069,45334,27132,1251,15587,43745,13121,42070,26675,1678,56625,11694,34529,34473,29207,19536,69404,3357,23896,51212,19110,26279,25274,30207,10697,18391,32528,10490,11764,4140,2205,612,682,964,1710,1285,415,758,5337,479,680,198,75,47,648,59,6,25,0,17,251,5,142,0,1,0,14,0,19,0,0,0,0,0,0,1,0,2,2,2,0,1,1,2,0,4,2,15,3,0,0
NM,New Mexico,2300,1415,1199,668,3374,703,1150,2451,2395,683,1187,3990,1537,440,1738,251,1222,1327,1057,4324,933,2079,1454,4981,2716,4881,3992,6324,8082,4448,65,20,0,0,1416,690,1274,612,176,287,302,426,134,166,62,108,16,25,0,30,1,8,0,0,1,0,10,18,0,12,25,23,0,0,0,19,13,7,0,0,0,0,0,0,0,0,0,1,1,0,0,4,2,0,1,0,0
NY,New York,40007,54376,60464,72057,34208,69073,64605,27404,69473,41925,23116,106238,22772,66272,40787,4650,87064,14664,48207,52580,29795,35827,78310,10174,86718,38299,49716,37889,60457,23392,46685,35367,47224,18799,27699,9296,11369,1205,3799,5475,1568,4531,601,1852,1457,1223,3198,4769,1840,1563,1943,346,182,54,89,75,373,340,44,128,216,241,23,1,18,5,2,15,3,0,9,11,1,7,4,7,4,7,30,18,8,32,5,65,32,1,0
NC,North Carolina,1429,15299,13653,16197,55684,10763,1387,7652,45795,19242,3546,24004,19851,4633,24753,1132,8947,4792,1035,17306,4823,3289,3688,4776,9472,1252,7705,1906,4103,3260,1239,5162,907,1449,1341,419,788,943,324,342,1013,2018,37,6,6,3,19,66,125,115,131,4,2,0,0,0,2,0,0,106,12,17,7,0,3,0,4,1,0,0,0,0,0,1,2,0,0,3,0,0,0,2,0,22,1,0,0
ND,North Dakota,813,966,2150,2518,4419,1946,112,55,4432,2968,170,1346,1594,4316,3226,118,245,1426,1258,1468,394,2566,2491,1548,2775,2446,2222,3851,4330,5559,2476,2814,3715,4366,5528,4045,1411,896,142,82,321,261,59,72,37,852,1,23,179,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
OH,Ohio,18541,19500,36228,15751,27713,36976,9319,24944,44402,1197,1534,81859,7626,20059,37758,1489,15929,18777,22558,21389,12911,23499,20689,27128,28597,15076,43946,8058,30025,12029,18605,20569,11763,14646,19380,9277,6622,1220,334,556,4044,4096,296,420,2952,113,645,1874,501,321,380,20,3,43,2,0,0,0,24,1070,188,12,0,0,0,1,2,34,0,0,2,3,0,2,0,3,0,0,0,1,2,0,1,0,382,1,0
OK,Oklahoma,3981,774,1034,2437,9040,2456,363,1065,2573,4504,338,2035,5951,1256,3877,887,4312,156,1387,7453,613,7912,1421,3769,3361,2963,10011,1508,7206,668,1208,598,2099,346,1058,244,620,805,95,142,802,749,12,67,29,202,295,63,20,26,672,8,33,0,0,0,0,0,7,17,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
OR,Oregon,2691,2343,4998,2253,1906,7061,9427,400,1011,1959,9536,6085,5630,8883,2892,1954,6454,917,5177,9793,755,9600,3255,8969,3973,4853,2293,14944,9088,7815,11074,5755,13929,4787,8611,3520,2533,1717,614,202,455,354,193,473,24,199,180,359,531,73,2,5,12,4,0,0,4,27,29,32,4,54,6,0,0,1,1,3,0,0,0,3,0,3,0,2,0,1,1,0,0,3,1,6,6,1,1
