StateCode,Obesity,InfantMortality,Unemployment,SNAP,Poverty,HigherEducation,MoreDemocrat16,MoreDemocrat12,MoreDemocrat08,MoreDemocrat
NH,26.6,4.69,2.7,6.8513808883709,6.8,65.7927618179247,0.501970284423807,0.528337519782581,0.548685411201095,0.526411172443089
NJ,27.4,4.53,4.6,9.08319271781119,10.3,61.6483060267969,0.572841901429013,0.589868511373096,0.578646298714239,0.580315322377329
NM,28.3,5.2,6.2,22.0778039050415,18.7,58.7856237795399,0.546507949343241,0.552952046469087,0.576649000187976,0.559488115298438
NY,25.5,4.72,4.7,14.6654314319542,13,60.134256245536,0.617724411842306,0.643008945306968,0.635766811031269,0.631998946943036
NC,31.8,7.16,4.6,13.2867159414018,14.4,61.4801259526972,0.480962541962813,0.48965965096995,0.501659633000673,0.490538551572809
ND,31.9,6.1,2.6,7.14859682311062,10.9,65.2693352726685,0.301907571034803,0.398821048595802,0.455913437180319,0.385531287596915
OH,31.5,7.13,5,12.8831835770459,13.6,56.711466877117,0.457323154228641,0.515145989091558,0.523338407622541,0.499438875214659
OK,32.8,7.42,4.3,15.3655786615869,14.4,56.6208048106342,0.306952627616719,0.332276802569834,0.343549188773065,0.327910624413853
OR,28.7,5.06,4.1,16.438252997507,11.8,67.341123993685,0.561558389450544,0.562711671787474,0.584137211772272,0.569521345378129
PA,30.3,6.23,4.9,14.3922117440292,11.7,55.0235233790725,0.496244641925098,0.527319340018918,0.552297038154845,0.525314840518328
RI,26.6,5.61,4.5,14.9107384684784,11.6,60.7342874074478,0.583107040926598,0.640167459788821,0.641981375091458,0.622243528283797
SC,32.3,6.74,4.3,14.3301576775113,14.2,57.6410457090444,0.42539743639476,0.446917452954346,0.454555708107909,0.441994302471923
SD,29.6,6.48,3.3,10.6937605931473,14.2,62.1976907336003,0.340281419205687,0.407815008618048,0.457042927658846,0.403255099059737
TN,34.8,6.87,3.7,15.5896738288835,14.8,54.5800735907729,0.36375656954738,0.39648928473706,0.423685281976455,0.395331529075042
TX,33.7,5.79,4.3,13.8528739290255,14.3,57.7462689757911,0.45286774422028,0.419921027848936,0.440640632490593,0.438246709670474
UT,25.4,5.04,3.2,6.64123439269619,8.9,69.0447297173017,0.376163417915092,0.253738111048525,0.354736386272599,0.324636217095426
VT,27.1,4.5,3,12.3465302241456,10.2,62.8410489508899,0.651864263238204,0.682472588263906,0.688991817393381,0.675335222227878
VA,29,5.91,3.8,9.16172571021084,11.1,65.2667381321977,0.528263762771547,0.519673766887645,0.531825844061276,0.526530092490557
WA,28.6,4.63,4.8,12.5443186456781,11.2,68.565881892624,0.587869312000648,0.576282982706218,0.587520268021089,0.583828100364881
WV,37.7,7.22,5.2,18.7239413676297,16.3,46.3111870111793,0.278389477487042,0.363257023679573,0.433262562328627,0.359101744511676
WI,30.7,5.92,3.3,11.9403335321663,11.1,60.8384907542695,0.495920109619703,0.535163824043373,0.570556782478184,0.534551341165722
WY,27.7,5.37,4.2,5.69638279692395,10.3,63.8390046930096,0.242946803708462,0.288393659884786,0.334379766449041,0.2896824623573
